siteMeasureID,siteID,instrumentID,sampleID,reporterID,dateTime,type,aggregation,aggregationDesc,value,unit,accessToPublic,accessToAllOrg,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
quebec_ouest_wwtp_envrnf_2020-09-19,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-19,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-20,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-20,envrnf,single,cumulative rainfall in one day.,0.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-21,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-21,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-22,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-22,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-23,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-23,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-24,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-24,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-25,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-25,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-26,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-26,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-27,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-27,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-28,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-28,envrnf,single,cumulative rainfall in one day.,4.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-29,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-29,envrnf,single,cumulative rainfall in one day.,20.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-30,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-30,envrnf,single,cumulative rainfall in one day.,49.4,mm,True,yes,True,True,True,True,True,normales
